year;date;google_trends;day_index
2025;06/01/2025;70;12
2025;07/01/2025;57;13
2025;08/01/2025;42;14
2025;09/01/2025;34;15
2025;10/01/2025;35;16
2025;11/01/2025;30;17
2025;12/01/2025;31;18
2025;13/01/2025;25;19
2025;14/01/2025;26;20
2025;15/01/2025;20;21
2025;16/01/2025;20;22
2025;17/01/2025;21;23
2025;18/01/2025;19;24
2025;19/01/2025;16;25
2025;20/01/2025;14;26
2025;21/01/2025;14;27
2025;22/01/2025;11;28
2025;23/01/2025;14;29
2025;24/01/2025;15;30
2025;25/01/2025;19;31
2025;26/01/2025;14;32
2025;27/01/2025;16;33
2025;28/01/2025;11;34
2025;29/01/2025;8;35
2025;30/01/2025;12;36
2025;31/01/2025;23;37
2025;01/02/2025;15;38
2025;02/02/2025;11;39
2025;03/02/2025;10;40
2025;04/02/2025;8;41
2025;05/02/2025;7;42
2025;06/02/2025;7;43
2026;26/12/2025;0;1
2026;27/12/2025;20;2
2026;28/12/2025;26;3
2026;29/12/2025;11;4
2026;30/12/2025;24;5
2026;31/12/2025;33;6
2026;01/01/2026;100;7
2026;02/01/2026;97;8
2026;03/01/2026;82;9
2026;04/01/2026;69;10
2026;05/01/2026;64;11
2026;06/01/2026;52;12
2026;07/01/2026;52;13
2026;08/01/2026;52;14
2026;09/01/2026;45;15
2026;10/01/2026;50;16
2026;11/01/2026;56;17
2026;12/01/2026;42;18
2026;13/01/2026;47;19
2026;14/01/2026;34;20
2026;15/01/2026;34;21
2026;16/01/2026;42;22
2026;17/01/2026;37;23
2026;18/01/2026;45;24
2026;19/01/2026;38;25
2026;20/01/2026;36;26
2026;21/01/2026;32;27
2026;22/01/2026;31;28
2026;23/01/2026;32;29
2026;24/01/2026;28;30
2026;25/01/2026;35;31
2026;26/01/2026;19;32
2026;27/01/2026;23;33
2026;28/01/2026;27;34
2026;29/01/2026;28;35
2026;30/01/2026;32;36
2026;31/01/2026;48;37
2026;01/02/2026;23;38
2026;02/02/2026;20;39
2026;03/02/2026;16;40
2026;04/02/2026;0;41
2026;05/02/2026;0;42
2026;06/02/2026;0;43
